Job_ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,District Cooling [kWh],c1: Interior Lighting[kWh],c2: Total Energy [kWh],c4: Annual Total Peak Values[kWh],c5: Annual and Peak Values-Cooling[kWh],c7: Not Comfortable[Hours]
case_24,0.703741991,1.33121997,1.116576425,3.769428727,0.338540879,0.579760389,0.334656956,0.239689653,0.287255746,0.204236651,0.359221748,0.296198588,485626.9229,77372.05857,1037372.74,551899.5669,485627.3136,3307.17
case_25,0.704467202,1.088590238,0.793336881,3.828751897,0.229591939,0.544656176,0.296752167,0.224852092,0.275575289,0.247528903,0.282783753,0.387457983,473558.5958,78141.57623,1026077.75,552669.0846,473558.976,3289
case_26,0.974263634,0.992911856,1.231258892,3.082777546,0.379361972,0.408894183,0.20353652,0.393637725,0.24173377,0.294243932,0.379058339,0.222552461,483485.2915,88601.03711,1046460.79,563128.5771,483485.6822,3302.5
case_27,0.827390746,1.126119462,1.341649735,3.685791295,0.336887912,0.456661873,0.203232044,0.385685994,0.270030946,0.275054701,0.316991379,0.298187381,478757.833,84215.2805,1037349.06,558742.7888,478758.2131,3306
case_28,0.834273733,1.464866428,0.666125668,3.567320612,0.318003085,0.528374372,0.268858272,0.213785398,0.277883905,0.279132121,0.364944039,0.247422861,490405.8509,80153.2863,1044931.39,554680.7946,490406.2416,3299.67
case_29,0.931805808,0.858877467,0.567835551,3.964239033,0.223076101,0.72558099,0.315763112,0.346239026,0.268598189,0.284585197,0.210732016,0.30835422,481676.184,74727.20186,1030778.4,549254.6785,481676.5747,3288.67
case_30,0.510652857,1.47106587,0.915043692,3.615083037,0.384468429,0.520468612,0.274977814,0.267544624,0.208955611,0.261443284,0.306398927,0.3173243,487942.8154,81574.92093,1043890.78,556102.4293,487943.2061,3285.5
case_31,0.890167009,0.846441412,0.739540887,3.322718134,0.316081396,0.340492979,0.271244871,0.355607974,0.289290824,0.242473955,0.372500213,0.324345784,494475.8016,91908.77859,1060755.55,566436.2869,494476.1923,3278.67
case_32,0.887307156,1.078478323,0.606380439,3.609917971,0.32969867,0.663832691,0.34276526,0.249431054,0.281924738,0.241318263,0.203912971,0.229420293,483244.9354,80772.18144,1038391.63,555299.6898,483245.3155,3280.83
case_33,0.50338863,1.149789179,0.576282213,3.293732713,0.369519175,0.209245208,0.332049387,0.306213581,0.220368483,0.27076482,0.242112403,0.347366588,508886.136,123297.454,1106550.01,597824.994,508886.5478,3249.67
case_34,0.531811845,1.031391919,0.783214032,3.521125731,0.245577648,0.37799339,0.303717564,0.344082168,0.266015713,0.243419528,0.346732675,0.316468795,485661.5069,89571.24756,1049606.52,564098.7559,485661.8976,3263.83
case_35,0.634262635,0.651277215,1.445789046,3.287226145,0.363429311,0.260889339,0.366895169,0.265603447,0.263415928,0.298177603,0.2723414,0.277717677,481942.655,109028.7572,1065346.33,583556.2655,481943.0352,3270.67
case_36,0.85017061,1.302991653,0.917365333,3.767278825,0.391681394,0.385579873,0.245364177,0.290120109,0.269140923,0.27928576,0.366156365,0.347672073,498649.0186,86135.59095,1059154.25,560663.0993,498649.4198,3304.5
case_37,0.963848172,1.05975011,0.590246518,3.688174126,0.202244816,0.602312768,0.24777034,0.217792454,0.241523577,0.239253624,0.340320171,0.288340992,471034.9459,77212.28342,1022625.61,551739.7918,471035.3155,3297.67
case_38,0.810797293,0.576399179,1.222662729,3.087340147,0.202856386,0.64782518,0.239787406,0.238472699,0.281863785,0.250230291,0.262137287,0.295566219,444855.143,77152.71215,996394.51,551680.2205,444855.5021,3290
case_39,0.640502872,1.043833036,0.958849934,3.709097878,0.359373558,0.297392027,0.29367683,0.313103946,0.269442385,0.222392908,0.248126755,0.325278134,488545.5379,103509.9113,1066428.29,578037.4196,488545.9286,3265.33
case_40,0.680094064,0.69237162,1.207830959,3.872187978,0.344335694,0.635476741,0.224802792,0.363930529,0.210472189,0.273994963,0.251490191,0.38861652,474127.9171,75694.94205,1024200.28,550222.4504,474128.2973,3289.17
case_41,0.69619111,1.408342842,0.507079743,3.817063882,0.259863228,0.547635597,0.351179424,0.361600838,0.296276896,0.274301537,0.283151116,0.372867068,505937.8474,77830.32347,1058135.54,552357.8318,505938.2486,3298.83
case_42,0.910978816,0.714252571,0.855011891,3.058996538,0.392492766,0.478027685,0.237022876,0.339919472,0.21075054,0.294407385,0.276874966,0.386571481,490794.9235,82802.60848,1047969.68,557330.1168,490795.3142,3277
