#,case,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Cooling,Lighting,Equipment,fadian
6282,6283,70,0.189418417,0.184315984,0.649439845,0.528129637,0.650928942,0.660707789,0.43759329,0.525551255,0.618407175,0.491616677,0.687468378,0.710801737,0.71321556,0.935009348,0.54022785,0.684407576,1.127462529,0.441770507,0.468110742,1.765529767,0.536684375,15.40722479,0.854425571,5.983990804,0.864067985,12.56948009,0.828739754,24.54551558,25.20585264,18,58905.22628,8338.01604,46941.57594,74926.64796
6283,6284,100,0.17581558,0.17625757,0.765431108,0.685463356,0.766441251,0.367916684,0.452773069,0.540502184,0.507066207,0.638464354,0.757182268,0.838878477,0.812906274,0.616654095,1.155530124,0.755607826,0.592127101,0.450227352,0.401270491,2.733114471,0.578858931,14.41074808,0.80349807,4.413456401,0.867610537,12.74704052,0.800062013,24.622147,27.42321069,17,52351.14893,5155.12557,41779.42968,69660.73152
6284,6285,170,0.123405917,0.176424533,0.585932555,0.623865238,0.754118436,0.732864321,0.339680844,0.488580935,0.494284145,0.61015791,0.729705279,0.541208028,0.57119158,0.937434039,0.461720156,0.691645158,1.058415145,0.153269688,0.164639817,2.065794653,0.564980546,12.11603975,0.921813352,5.936783734,0.810650005,10.14917941,0.751790347,24.02264573,22.18439514,18,44834.41737,7860.92631,34383.48102,56178.8289
6285,6286,180,0.162931325,0.147843906,0.41518127,0.510273753,0.721086641,0.54681398,0.485626887,0.411936227,0.410595043,0.429610866,0.714447428,0.845986986,0.77885972,0.753216845,0.534555099,0.732421692,0.739140449,0.366036016,0.271259999,2.084257023,0.655365069,13.28107663,0.878271889,8.550461209,0.75447602,12.95959957,0.858226505,24.29968554,21.43805836,18,51283.45796,10939.10484,50120.5326,54023.80407
6286,6287,270,0.157291431,0.131039622,0.716287213,0.369183733,0.720055017,0.473216238,0.37186276,0.412531827,0.656651948,0.361734172,0.747674882,0.62276996,0.666315951,0.662437,0.855510903,0.787615081,0.948390385,0.403188065,0.158676871,1.797442726,0.49020118,11.0681244,0.846912704,6.419592121,0.954057589,14.33284466,0.837074104,25.38905083,23.59916641,18,53020.28903,10873.67214,54065.28402,50780.10141
6287,6288,0,0.105769607,0.149794349,0.421084443,0.693920731,0.586116748,0.71224723,0.37063364,0.273586544,0.535169443,0.486781787,0.898854785,0.724464393,0.874835234,0.905921349,0.46624486,0.528056924,0.474458433,0.243311427,0.41307516,1.075935591,0.519236801,14.37463011,0.842497256,7.540681135,0.926569218,10.83820602,0.81937184,24.88147213,26.22428633,17,47019.56653,11129.10492,36380.43732,52370.1945
6288,6289,160,0.154468326,0.163659685,0.720468516,0.688766747,0.574360176,0.517641601,0.383032779,0.499492077,0.557690438,0.428723336,0.725837844,0.95199238,0.605289659,0.741542882,0.607047148,0.491931488,0.911029576,0.308259812,0.409251523,2.226805176,0.437278079,12.88833558,0.841159852,6.425001343,0.932922223,10.32850205,0.926719036,24.06051172,25.33088443,19,60311.06468,13950.56556,47053.9593,57243.91368
6289,6290,220,0.154073236,0.19296739,0.338017873,0.532068023,0.502305898,0.513377058,0.397421936,0.343375816,0.468486068,0.372461862,0.569573413,0.8654393,0.743073195,0.616852213,0.852157037,0.472931362,1.016973943,0.180268941,0.208319005,2.713374756,0.518860671,14.31405101,0.884679691,5.379444192,0.91627934,10.83601788,0.737645522,24.11460005,25.66968068,18,44844.86393,9583.37592,36019.65822,60780.70644
6290,6291,210,0.152036303,0.125491598,0.757950733,0.541445645,0.642186642,0.820984698,0.468119158,0.51906716,0.381089861,0.425122188,0.65023226,0.765197527,0.721548704,0.822554759,0.471151157,0.43332241,0.668274716,0.260129345,0.39544647,1.647444461,0.501240775,12.1382872,0.819598489,5.601383107,0.801549262,13.18083767,0.810721348,25.69900422,25.12806586,19,56883.43978,10330.36164,52532.17395,56417.87898
6291,6292,100,0.175211035,0.178095203,0.605208787,0.708908587,0.594654605,0.724832267,0.371452789,0.443655187,0.498753946,0.385837252,0.617588863,0.754529336,0.755030923,0.788564237,1.096132872,0.478704047,0.894519201,0.395966644,0.293672659,2.565591443,0.599055762,10.79294322,0.802574916,6.28550187,0.884506731,13.59650854,0.807710789,24.30107303,28.45343631,17,56853.39175,8517.59463,44989.66716,69987.80346
