#,case,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Cooling,Lighting,Equipment,c6: fadianliang,C+L,C+L+P
41419,41420,90,0.194676712,0.202795799,0.751821618,0.761515351,0.676123709,0.623419367,0.489620219,0.402104466,0.43453721,0.444831099,0.825894944,0.755005029,0.804048404,0.653842968,1.235029311,0.436448018,1.019289228,0.173386724,0.383809832,1.874510316,0.578686006,6.51080445,0.814701376,9.54120732,0.853699703,15.03508678,0.917349957,26.01178699,34.24734778,344266.4143,63723.6,285106.21,381671.29,407990.0143,693096.2243
10240,10241,20,0.209689674,0.226160092,0.574489191,0.542280564,0.691570936,0.729837072,0.409415234,0.452555636,0.464543368,0.413124786,0.867464023,0.729558557,0.865526849,0.762373271,0.595454619,0.452041019,0.896968217,0.101059614,0.204321189,1.491913588,0.50482611,11.81504649,0.898438806,8.842032148,0.765607173,13.66104076,0.883599502,26.04966693,32.63906278,212008.9886,59007.68,249519.76,404019.98,271016.6686,520536.4286
7596,7597,130,0.185634599,0.193665993,0.643695466,0.786476907,0.812761925,0.662783348,0.490935265,0.43796771,0.437738659,0.396256121,0.614956858,0.849866219,0.744665288,0.718606661,1.433921169,0.571356091,1.142060244,0.242815041,0.27607211,2.369514731,0.587303039,11.81600023,0.780042913,11.65181303,0.767735757,17.15931972,0.81275076,24.91126895,31.92030178,248423.9,71114.45,288285.73,353997.27,319538.35,607824.08
43330,43331,280,0.115797942,0.185037451,0.792818456,0.721088542,0.804242428,0.695802689,0.437187041,0.515046046,0.560860789,0.611242015,0.666908645,0.757766968,0.677793238,0.73673106,1.237959443,0.26744814,1.050832599,0.312038943,0.279551134,1.728854709,0.51464012,10.17148348,0.851369968,11.12868863,0.894904817,14.00369442,0.868866787,24.93305655,16.24932274,226833.9629,72161.11,251513.62,277092.32,298995.0729,550508.6929
8870,8871,50,0.17613661,0.136986027,0.624811363,0.53269733,0.780871882,0.662127044,0.280279597,0.598952969,0.579153942,0.670717859,0.670921469,0.600301946,0.721458421,0.74155759,0.587825002,0.36428857,1.223962513,0.175837821,0.34538608,2.351751403,0.566703059,10.71691631,0.760712099,9.256686469,0.85996899,15.28296703,0.908397559,24.87374192,33.36180645,272140.7314,54312.65,286978.48,288808.68,326453.3814,613431.8614
7800,7801,70,0.155124509,0.174420174,0.808968536,0.658853232,0.58488555,0.76465604,0.437594006,0.435786874,0.5445709,0.43375729,0.621494116,0.777850997,0.605824133,0.739668285,0.50436366,0.786974236,0.954393819,0.135287616,0.299663424,1.751068859,0.442260477,9.370801426,0.833346753,11.10035767,0.825433761,13.62524244,0.899017606,25.64772279,22.75105507,238178.0229,77779.56,253208.41,290585.69,315957.5829,569165.9929
20999,21000,180,0.199760511,0.155128399,0.730442791,0.576155087,0.562466944,0.653068297,0.571803136,0.505267025,0.32885798,0.551672963,0.700355178,0.768037594,0.744205915,0.825675182,0.938835358,0.340635626,1.375702922,0.176197203,0.385102823,1.525172333,0.552067897,11.43606504,0.966174255,11.53805326,0.739269251,13.10918945,0.917189032,26.47646499,26.63260674,218134.9086,67177.86,248542.34,299687.6,285312.7686,533855.1086
13035,13036,300,0.151207972,0.163783363,0.58972691,0.687110906,0.551686717,0.806541431,0.463255478,0.365385681,0.577842071,0.342288754,0.517294498,0.889440595,0.58047659,0.698141374,0.962547424,0.378340194,0.528101098,0.191364528,0.370317823,2.183484322,0.445954028,9.763684994,0.742285906,9.298767415,0.862540443,12.47125703,0.79690891,27.41696164,36.98392131,235242.8771,70337.13,205439.81,281618.1,305580.0071,511019.8171
19849,19850,330,0.178584341,0.199542278,0.769859675,0.752700505,0.80375719,0.577380668,0.536390578,0.465315266,0.446315497,0.495006042,0.54625968,0.554271196,0.856088755,0.758441889,1.206985634,0.671377221,0.895044186,0.335105704,0.264306288,1.579764017,0.543493338,7.526903562,0.799322658,8.20735904,0.914765571,16.97649472,0.830897242,26.45675835,29.41101178,286339.3486,59549.94,291582.21,335211.0,345889.2886,637471.4986
5200,5201,190,0.193709281,0.148286346,0.742291672,0.566862777,0.778064232,0.8769631,0.350798903,0.366637633,0.447323619,0.524704157,0.622323772,0.932496659,0.71615735,0.561213782,0.863645153,0.348797063,1.091588427,0.131068592,0.399568487,1.972903314,0.469837913,7.988720421,0.816098532,8.191215443,0.783703644,15.17254177,0.802765831,25.59843087,33.11480819,289204.8914,55977.91,251775.18,300545.35,345182.8014,596957.9814
38426,38427,80,0.157475592,0.239591264,0.592658963,0.586234096,0.81537354,0.83865656,0.524377675,0.236747935,0.508995394,0.393283573,0.83229798,0.634519182,0.587525773,0.677148062,1.346022945,0.444151323,1.191920175,0.192730344,0.250104229,1.840299617,0.587096977,8.83640122,0.781414636,7.67307279,0.798230634,14.19645449,0.891816349,24.63497519,32.10304994,281116.8286,47636.06,261710.42,369892.07,328752.8886,590463.3086
45463,45464,340,0.162528318,0.134097463,0.686192957,0.528499442,0.574539364,0.619208624,0.465308548,0.497527284,0.537381035,0.544669985,0.956982143,0.842974702,0.683115533,0.893059526,1.398252609,0.64777323,0.500598941,0.154100969,0.317164573,1.955757742,0.57054925,6.01218291,0.788084184,9.14841288,0.955335687,15.19851348,0.808070986,25.83990701,37.25236786,356790.76,63678.22,253872.88,252064.43,420468.98,674341.86
33669,33670,120,0.203422068,0.211684937,0.62842431,0.740135412,0.648061515,0.642806069,0.384294618,0.600611574,0.421890272,0.459774767,0.830832163,0.632552292,0.840495246,0.684648682,0.65083085,0.600015682,0.603005764,0.328052221,0.203637104,1.749066156,0.500985477,9.359710965,0.814463415,8.338024297,0.80936822,17.73297556,0.769899942,25.28240301,31.13212653,267801.6171,55781.56,282215.97,392122.74,323583.1771,605799.1471
40488,40489,210,0.136854892,0.203944929,0.659010605,0.593598184,0.782663009,0.734700139,0.385806844,0.501585846,0.405170045,0.392696729,0.751325516,0.805584915,0.586991028,0.671077152,1.185555462,0.680814222,0.71695623,0.254836697,0.320685019,1.603803146,0.565491743,10.59939611,0.81122894,8.880742846,0.740196705,15.87420848,0.800396696,24.30970019,24.00332604,240825.48,55325.18,262641.32,311015.21,296150.66,558791.98
