#,Job_ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,District Cooling [kWh],c1: Interior Lighting[kWh],c2: Total Energy [kWh],c4: Annual Total Peak Values[kWh],c5: Annual and Peak Values-Cooling [kWh],c7: Not Comfortable[Hours]
274,case_275,0.793977488,1.415113331,0.578710184,3.319308725,0.299744476,0.383016433,0.279179522,0.304419088,0.296790536,0.222812686,0.259669351,0.288161337,492428.471,93909.24581,1060709.34,568436.7542,492428.8723,3279.33
275,case_276,0.737148898,1.160289936,0.955510144,3.542212897,0.361175316,0.351251885,0.287656038,0.351865435,0.286439629,0.255316978,0.382076331,0.29115432,498288.5741,91054.417,1063712.76,565581.9253,498288.9648,3290
276,case_277,0.849531212,1.228601712,0.657373755,3.044467828,0.31955362,0.244098002,0.206050217,0.231484789,0.258035342,0.299330427,0.317657473,0.363967275,492114.2266,105753.6675,1072239.63,580281.2075,492114.6173,3276
277,case_278,0.568068642,0.639570434,0.999276326,3.908674086,0.36948529,0.46212029,0.34272353,0.386604976,0.203049605,0.210666739,0.248833437,0.288599198,482646.3101,89090.2436,1046111.28,563617.7836,482646.7008,3250.67
278,case_279,0.768084707,0.52172438,1.051949825,3.64720892,0.308907148,0.553555961,0.394934045,0.389420678,0.26993761,0.20007775,0.281790598,0.344451954,484244.112,80085.29081,1038703.63,554612.7992,484244.5027,3276.83
279,case_280,0.701986423,0.702656629,1.275357348,3.780867141,0.394988397,0.746071373,0.38867788,0.331601466,0.249822455,0.231288353,0.296465952,0.295599428,484417.3066,73228.45078,1032019.91,547755.9275,484417.6973,3295.83
280,case_281,0.710219653,0.979247834,0.554534042,3.729397172,0.25356012,0.393042867,0.27351174,0.217805096,0.247844718,0.237277499,0.388471593,0.283667101,482315.6131,87754.78304,1044445.22,562282.2914,482315.9933,3278.83
281,case_282,0.956154981,0.879346961,1.38789963,3.561031301,0.309176818,0.550963185,0.331752267,0.230546636,0.21062754,0.210979548,0.380926485,0.203262013,469864.0003,82128.38585,1026371.15,556655.8942,469864.3805,3314.17
282,case_283,0.578242173,1.372192109,0.997868966,3.196044805,0.289100726,0.378728519,0.346089135,0.214460285,0.204991554,0.230959819,0.214478806,0.293990317,474950.1082,98711.9063,1048039.17,573239.4463,474950.4883,3271.17
283,case_284,0.63582659,0.869043212,0.718116541,3.538229589,0.264362978,0.758277978,0.350036876,0.315530703,0.257456703,0.265905501,0.290926918,0.304883317,481568.3453,72505.67804,1028449.07,547033.1864,481568.736,3273.83
284,case_285,0.790534051,1.271270851,0.82399433,3.700296525,0.300855147,0.674226443,0.390271767,0.318629552,0.200717296,0.231044176,0.389436292,0.214452153,497619.1757,75997.64391,1047986.81,550525.1523,497619.577,3298.33
285,case_286,0.600773,0.776534395,0.89493872,3.415008539,0.34502585,0.583151707,0.332047569,0.209982418,0.219864382,0.208487941,0.202658598,0.252022674,463412.7062,85948.19956,1023741.68,560475.7079,463413.0758,3250.33
286,case_287,0.685819944,1.370031952,0.685220477,3.359314865,0.323685189,0.544749035,0.262996735,0.341697606,0.265074766,0.233681919,0.267217141,0.26001832,486859.6656,83387.93342,1044620.98,557915.4418,486860.0563,3277.33
287,case_288,0.908440169,1.214300764,0.966071752,3.181628018,0.380419598,0.400624817,0.211492364,0.342544698,0.270739302,0.231356795,0.246767707,0.222561218,482666.5114,96187.77563,1053228.98,570715.284,482666.8915,3284
288,case_289,0.728172131,1.495232054,1.41335689,3.765078959,0.362105026,0.25773994,0.277126024,0.20092532,0.294260286,0.272574397,0.242906825,0.214324977,483569.6659,114297.315,1072241.39,588824.855,483570.0461,3299.67
289,case_290,0.52160973,1.076886463,1.352495003,3.490755923,0.373847232,0.360307378,0.337309254,0.386763566,0.211087996,0.215939377,0.267414658,0.215157484,480260.3203,101971.0977,1056606.89,576498.6377,480260.7005,3273.5
