#,Job_ID,@@tag1@@,@@tag2@@,@@tag3@@,@@tag4@@,@@tag5@@,@@tag6@@,@@tag7@@,@@tag8@@,@@tag9@@,@@tag10@@,@@tag11@@,@@tag12@@,Cooling£¨MWh),Cooling£¨kWh/©O),Total£¨MWh),Total£¨kWh/©O),Coolingpeak£¨kW),Coolingpeak£¨W/©O),Very-hot(h),COM(h)
983,LHS-000983,1,0.5,0.5,4,0.3,0.3,0.4,0.2,0.3,0.2,0.2,0.2,106.38,22.16,383.58,79.91,133.49,27.81,337.22,3246.78
984,LHS-000984,0.5,0.5,1,3.5,0.4,0.3,0.3,0.2,0.2,0.3,0.3,0.2,104.08,21.68,381.07,79.39,129.09,26.89,294.43,3289.57
985,LHS-000985,0.5,1,1,3,0.4,0.4,0.3,0.2,0.3,0.2,0.2,0.2,105.52,21.98,382.66,79.72,133.23,27.76,287.76,3296.24
986,LHS-000986,1,0.5,1,3,0.2,0.4,0.2,0.3,0.3,0.2,0.4,0.2,104.46,21.76,381.57,79.49,131.31,27.36,288.92,3295.08
987,LHS-000987,1,1,0.5,3.5,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.3,108.32,22.57,385.86,80.39,140.29,29.23,297.57,3286.43
988,LHS-000988,0.5,1.5,0.5,3,0.2,0.2,0.3,0.4,0.3,0.2,0.3,0.3,110.16,22.95,387.67,80.76,143.99,30,307.33,3276.67
989,LHS-000989,1,1,1.5,4,0.4,0.2,0.2,0.4,0.2,0.3,0.2,0.4,107.55,22.41,385.09,80.23,143.28,29.85,245.74,3338.26
990,LHS-000990,0.5,1.5,1.5,4,0.2,0.4,0.4,0.2,0.3,0.2,0.3,0.3,107.95,22.49,385.48,80.31,143,29.79,229.45,3354.55
991,LHS-000991,1,1.5,1,3,0.2,0.4,0.3,0.2,0.3,0.2,0.2,0.2,107.02,22.3,384.51,80.11,139.56,29.07,257.2,3326.8
992,LHS-000992,1,0.5,0.5,4,0.3,0.4,0.3,0.2,0.3,0.2,0.4,0.3,109.28,22.77,386.76,80.58,140.16,29.2,327.96,3256.04
993,LHS-000993,0.5,1.5,0.5,3.5,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,106.35,22.16,383.78,79.95,138.43,28.84,235.03,3348.97
994,LHS-000994,1,1.5,1,3.5,0.3,0.4,0.4,0.3,0.3,0.3,0.2,0.4,112.17,23.37,390.06,81.26,151.3,31.52,298.56,3285.44
995,LHS-000995,0.5,1.5,0.5,3.5,0.3,0.3,0.4,0.3,0.2,0.3,0.2,0.3,110.61,23.04,388.23,80.88,144.17,30.04,313.92,3270.08
996,LHS-000996,0.5,1,0.5,4,0.3,0.4,0.4,0.2,0.3,0.3,0.2,0.2,109.53,22.82,387.02,80.63,142.2,29.62,339.02,3244.98
997,LHS-000997,1,0.5,1.5,3,0.3,0.4,0.2,0.4,0.2,0.2,0.2,0.4,105.63,22.01,382.8,79.75,135.06,28.14,305.96,3278.04
998,LHS-000998,1,0.5,0.5,3,0.4,0.2,0.3,0.4,0.3,0.2,0.2,0.4,109.64,22.84,387.01,80.63,140.17,29.2,392.01,3191.99
999,LHS-000999,0.5,0.5,1.5,4,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.2,106.53,22.19,383.75,79.95,136.3,28.4,278.26,3305.74
