#,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Y1,Y2,Y3,Y4,Y5,Y6
16,210,0.136914919,0.170743391,0.553430059,0.506466951,0.378105932,0.577664915,0.523504389,0.483543781,0.629852092,0.456525665,0.719121757,0.550355634,0.78521464,0.704709009,1.0187739,0.343239786,0.898404546,0.212675488,0.201989459,2.267257728,0.625438576,14.17884769,0.882188579,7.700084263,0.939192004,15.62332618,0.797819168,26.17023731,27.34056236,40563.85296,11017.84317,56169.44727,52040.49675,51581.69613,107751.1434
17,240,0.149878591,0.124169846,0.583663403,0.591604333,0.665988072,0.345098162,0.43621763,0.445371069,0.341953204,0.393776822,0.924263972,0.662211958,0.845752644,0.753366011,0.760874439,0.222420005,1.450485135,0.161870926,0.230955135,2.253563229,0.510463034,11.97239057,0.79270114,7.916938433,0.799559119,13.99905094,0.859040364,25.05019018,30.59185606,46685.56857,12637.05888,54191.89515,50807.41245,59322.62745,113514.5226
18,200,0.187021198,0.150665994,0.37434761,0.433839698,0.608168537,0.591330273,0.628778361,0.594581845,0.588032895,0.364904162,0.629832656,0.643865865,0.67980435,0.653106663,0.460824193,0.269664479,0.974768372,0.270325153,0.216404563,2.191546184,0.554159731,11.50359209,0.898009684,7.396517459,0.768540335,16.29916813,0.85973783,25.81260418,33.70970821,51532.40088,9439.67904,63147.13677,52460.18817,60972.07992,124119.2167
19,210,0.183639107,0.120965039,0.640619608,0.605757639,0.557228412,0.330964633,0.33545063,0.426478613,0.445810653,0.535735589,0.96199665,0.817894656,0.765133151,0.846319115,1.397913856,0.204119725,1.123128672,0.118719884,0.206239336,2.03404645,0.657159989,10.34077501,0.723685426,10.32522556,0.786283244,13.31064321,0.919814708,27.39280118,33.34834121,44175.16622,13027.82388,55172.36214,52704.12036,57202.9901,112375.3522
20,320,0.173473418,0.177464588,0.423175215,0.376295199,0.590737845,0.276739129,0.228102853,0.543395657,0.371361886,0.458820415,0.938060556,0.610648899,0.605095842,0.986643264,0.231175698,0.337478473,0.72079104,0.26008097,0.373539869,2.277318822,0.592551838,10.46808187,0.889520854,7.73364218,0.809161427,11.60289611,0.794434201,27.49718532,30.90455584,44835.85944,11353.90434,41538.0906,60284.15367,56189.76378,97727.85438
21,210,0.16251199,0.138841744,0.435206775,0.487622156,0.468076943,0.368879258,0.528310277,0.49147742,0.394917477,0.427656519,0.696451571,0.773292901,0.625363985,0.577806414,1.477518537,0.326924766,1.357978729,0.337794575,0.391048806,1.622141159,0.581366488,13.60651079,0.757192246,8.597046417,0.796393858,17.98244853,0.736924952,25.47025413,29.95566633,49270.63624,12135.75807,59716.48821,44155.60788,61406.39431,121122.8825
22,260,0.1511071,0.153844814,0.277179648,0.380267902,0.506343545,0.455222555,0.617399261,0.478970419,0.527058789,0.341424292,0.607614448,0.695505634,0.855849404,0.879060434,1.486529461,0.32711728,1.074678376,0.266570969,0.319109891,2.064834882,0.533517329,10.80963513,0.946110842,5.914093797,0.845072369,13.31952719,0.829221832,26.51733099,25.57877132,45882.0567,8827.14264,49771.61379,57016.69773,54709.19934,104480.8131
23,40,0.131965947,0.126005273,0.387955454,0.668182463,0.547629909,0.291990582,0.268784076,0.368342187,0.556877771,0.617653072,0.740389274,0.575437461,0.691802171,0.721905609,1.271965407,0.286886334,1.250076412,0.131596988,0.391206623,2.08863539,0.53404152,8.298503484,0.834378165,8.873204702,0.792477454,13.14865457,0.800855737,25.92962882,24.32675553,53674.69186,11645.7126,47452.35648,42115.74591,65320.40446,112772.7609
24,220,0.150958137,0.139549987,0.572564175,0.580101528,0.630888749,0.359698986,0.576322726,0.375580675,0.543953357,0.56994731,0.723103026,0.728772813,0.551296266,0.751287673,0.732578577,0.367480321,0.748470133,0.214281743,0.248044504,2.289677261,0.494549078,7.15436154,0.735934902,7.251674543,0.836070437,15.19872503,0.813235725,26.5694921,22.42281962,52211.93865,10206.54309,55698.7929,47760.52128,62418.48174,118117.2746
25,250,0.163685615,0.145330914,0.450112503,0.50447892,0.650829649,0.654966222,0.638639029,0.569706505,0.41014722,0.465196129,0.818698173,0.782888771,0.867800876,0.760357879,0.818261993,0.305498695,0.64090913,0.231462181,0.260370959,1.963303029,0.556270945,5.837739481,0.912791086,8.497675552,0.842302667,14.96764529,0.893316485,27.77137232,42.63440347,67932.55894,12110.57907,60253.32411,61421.89131,80043.13801,140296.4621
